date,address,county,price,desc,region,latitude,longitude,apt,ed,suffix
28,"35 Charnwood Park, Clonsilla, Dublin 15",Dublin,301000.0,Second-Hand Dwelling house /Apartment,Leinster,53.385327,-6.415771800000001,No,Blanchardstown-Blakestown,park
28,"43 Kilfenora Road, Kimmage, Dublin 12",Dublin,253000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3184282,-6.2972717000000005,No,Kimmage D,road
28,"24 Talbot Court, Castleknock, Dublin 15",Dublin,420000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3832888,-6.365625,No,Blanchardstown-Abbotstown,court
28,"44 Millrace, Duleek",Meath,150000.0,Second-Hand Dwelling house /Apartment,Leinster,53.656682,-6.411104799999999,No,Ardcath,
28,"35 Castle Riada Grove, Lucan",Dublin,280000.0,Second-Hand Dwelling house /Apartment,Leinster,53.34619590000001,-6.4291268000000015,No,Lucan-Esker,grove
28,"14 WESTBROOK GREEN, NAUL ROAD, BALBRIGGAN",Dublin,225000.0,Second-Hand Dwelling house /Apartment,Leinster,53.6083739,-6.199822599999999,No,Balbriggan Urban,green
28,"25 Boroimbe Aspen, Swords, Co. Dublin",Dublin,323000.0,Second-Hand Dwelling house /Apartment,Leinster,53.44479150000001,-6.239677599999999,No,Swords-Forrest,
28,"31 Pallas Derg, Newtown, Nenagh",Tipperary,140000.0,Second-Hand Dwelling house /Apartment,Munster,52.87958149999999,-8.2953201,No,Youghalarra,
28,"3 Balbriggan Road, Skerries",Dublin,320000.0,Second-Hand Dwelling house /Apartment,Leinster,53.5826997,-6.1220263,No,Skerries,road
28,"31 Convent Road, Dalkey",Dublin,520000.0,Second-Hand Dwelling house /Apartment,Leinster,53.27889980000001,-6.102625700000001,No,Dalkey-Coliemore,road
28,"43 Harbour Walk, Tullamore",Offaly,160000.0,Second-Hand Dwelling house /Apartment,Leinster,53.2829981,-7.484763900000001,No,Tullamore Urban,harbour
28,"1 Ryevale Lawns, Leixlip",Kildare,415000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3666952,-6.4937612000000025,No,Leixlip,
28,"4 CHESTNUT GROVE, TULLINDALY ROAD, TUAM",Galway,145000.0,Second-Hand Dwelling house /Apartment,Connacht,53.5211479,-8.8539944,No,Tuam Rural,grove
28,"Beaghmore, Carrigallen",Leitrim,120000.0,Second-Hand Dwelling house /Apartment,Connacht,53.9446088,-7.659403699999999,No,Gortermone,
28,"Ballykea, Loughshinny, Skerries",Dublin,460000.0,Second-Hand Dwelling house /Apartment,Leinster,53.5477093,-6.091342099999999,No,Holmpatrick,
28,"BALLINDERRY, MULLINGAR, CO WESTMEATH",Westmeath,273000.0,Second-Hand Dwelling house /Apartment,Leinster,53.5122029,-7.344366300000001,No,Mullingar Rural,
90,"15a Moore Bay, Kilkee",Clare,126500.0,Second-Hand Dwelling house /Apartment,Munster,52.671297,-9.6542843,No,,bay
90,"206 Philipsburgh Avenue, Marino, Dublin 3",Dublin,430000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3712445,-6.238115400000001,No,Clontarf West E,avenue
151,"Curragraigue, Blennerville, Tralee",Kerry,265000.0,Second-Hand Dwelling house /Apartment,Munster,52.2269128,-9.7374314,No,Blennerville,
151,"Rosenarra, Blarney Road",Cork,357000.0,Second-Hand Dwelling house /Apartment,Munster,51.91067520000001,-8.543756499999999,No,St. Mary's,road
151,"Hilltown, Buncrana",Donegal,135000.0,Second-Hand Dwelling house /Apartment,Ulster,55.1365797,-7.4560128,No,Buncrana Urban,
151,"Killeen, Newport",Tipperary,110000.0,Second-Hand Dwelling house /Apartment,Munster,52.726069,-8.429708900000001,No,Kilcomenty,
