,uid,zoom,year,work,lffj,unemployed,student,home_fam,retired,sick_dis,stat_other,stat_total
91,E02038,edist,2016,3225,27,185,736,397,1090,121,23,5804
92,E02039,edist,2016,1331,13,83,336,188,623,60,12,2646
93,E02040,edist,2016,1242,5,65,290,159,487,45,9,2302
94,E02041,edist,2016,789,6,37,165,87,322,31,3,1440
95,E02042,edist,2016,1736,17,126,291,221,494,103,10,2998
96,E02043,edist,2016,1041,18,141,161,141,385,140,13,2040
97,E02044,edist,2016,2042,19,105,288,160,428,87,5,3134
98,E02045,edist,2016,1262,20,101,172,96,238,62,6,1957
99,E02046,edist,2016,1184,11,70,209,120,394,51,5,2044
100,E02047,edist,2016,2868,33,187,514,201,491,120,30,4444
101,E02048,edist,2016,976,16,85,177,59,159,45,9,1526
102,E02049,edist,2016,1665,20,87,510,144,538,37,12,3013
103,E02050,edist,2016,1007,17,206,191,237,595,136,10,2399
104,E02051,edist,2016,1168,36,439,265,226,343,175,26,2678
105,E02052,edist,2016,1024,34,271,254,210,370,181,9,2353
106,E02053,edist,2016,1539,18,205,241,219,451,134,11,2818
107,E02054,edist,2016,1039,24,320,214,189,317,144,11,2258
108,E02055,edist,2016,1625,67,351,309,312,394,178,10,3246
109,E02056,edist,2016,832,32,303,217,176,353,126,7,2046
110,E02057,edist,2016,853,17,223,205,157,270,99,8,1832
111,E02058,edist,2016,2669,26,192,603,306,989,145,9,4939
112,E02059,edist,2016,4497,58,397,869,576,594,245,18,7254
113,E02060,edist,2016,2682,24,299,335,295,246,125,9,4015
114,E02061,edist,2016,1148,21,199,226,210,640,120,6,2570
115,E02062,edist,2016,1658,27,181,374,284,647,153,8,3332
116,E02063,edist,2016,993,16,162,196,210,554,93,11,2235
117,E02064,edist,2016,1150,17,130,217,180,571,116,9,2390
118,E02065,edist,2016,1166,20,183,238,174,325,120,10,2236
119,E02066,edist,2016,1626,42,420,387,257,516,125,307,3680
120,E02067,edist,2016,1954,58,329,503,122,250,96,11,3323
121,E02068,edist,2016,1316,50,250,313,157,200,133,13,2432
122,E02069,edist,2016,1659,32,202,400,203,223,105,9,2833
123,E02070,edist,2016,899,28,264,180,192,430,172,13,2178
124,E02071,edist,2016,446,26,164,133,129,191,95,5,1189
125,E02072,edist,2016,807,8,83,147,153,476,99,2,1775
126,E02073,edist,2016,2819,91,526,629,205,258,196,32,4756
127,E02074,edist,2016,1987,85,362,674,162,146,113,12,3541
128,E02075,edist,2016,3496,86,382,549,198,353,98,15,5177
129,E02076,edist,2016,753,19,90,105,48,155,34,3,1207
130,E02077,edist,2016,4865,67,388,592,273,435,191,18,6829
131,E02078,edist,2016,2284,41,383,526,129,269,175,8,3815
132,E02079,edist,2016,867,16,93,97,49,226,73,6,1427
133,E02080,edist,2016,708,14,99,131,95,149,95,4,1295
134,E02081,edist,2016,804,30,427,241,194,206,153,9,2064
135,E02082,edist,2016,1855,78,596,375,306,265,222,12,3709
136,E02083,edist,2016,945,24,266,203,223,324,168,12,2165
137,E02084,edist,2016,1230,24,190,185,188,342,125,7,2291
138,E02085,edist,2016,953,8,105,245,169,503,71,4,2058
139,E02086,edist,2016,799,17,135,209,163,426,66,11,1826
140,E02087,edist,2016,1556,12,98,304,303,705,74,4,3056
141,E02088,edist,2016,3231,86,503,616,246,388,181,20,5271
142,E02089,edist,2016,1404,30,217,260,83,96,103,9,2202
143,E02090,edist,2016,1085,21,53,834,172,599,73,6,2843
144,E02091,edist,2016,1688,27,160,643,213,695,121,10,3557
