ed,mean,std
Blackpool,432500.0,201525.43263816604
Blackpool A,100500.0,64346.71708797583
Blackpool B,142666.66666666666,82075.16879868925
Blackrock-Booterstown,438905.6603773585,202753.52260536051
Blackrock-Carysfort,497306.3839285714,210494.0883713452
Blackrock-Central,783758.7731958763,602453.8609800253
Blackrock-Glenomena,476950.0,220923.96055238968
Blackrock-Monkstown,459193.1477272727,248391.61835668187
Blackrock-Newpark,450972.8695652174,103856.97870343055
Blackrock-Seapoint,1049249.5161290322,523824.5043338383
Blackrock-Stradbrook,448132.9268292683,156762.69709729895
Blackrock-Templehill,516510.453125,231023.1561643221
Blackrock-Williamstown,573865.3777777777,333136.6789554517
Blanchardstown-Abbotstown,232355.71604938273,126887.37878993664
Blanchardstown-Blakestown,213535.94864048337,79451.11223558093
Blanchardstown-Coolmine,217925.0387096774,75501.06331433944
Blanchardstown-Corduff,164257.15789473685,40092.107141624234
Blanchardstown-Delwood,267815.97222222225,94251.31628564496
Blanchardstown-Mulhuddart,152238.61445783134,39182.47086882259
Blanchardstown-Roselawn,322670.45454545453,101425.30051963284
Blanchardstown-Tyrrelstown,113833.33333333333,41729.685676586
Blarney,189454.61538461538,81392.09964496175
Blennerville,208375.0,114279.02882231468
Blessington,223229.4642857143,74010.59799833689
Bocks,50000.0,
Bodenstown,240471.69811320756,117780.57397837867
Bohadoon,42500.0,
Boherboy,192500.0,150858.653491715
Boherglass,65500.0,13435.028842544403
Bohernabreena,245472.22222222222,107717.28686190017
Boherquill,62850.0,24253.76259469858
Bolaboy,139333.33333333334,59002.82479113465
Bonnyglen,291750.0,200464.77246638623
Boolteens,151000.0,107480.23074035523
Boolyglass,35000.0,0.0
Borris,112437.93103448275,46680.564660199576
Borris-in-Ossory,110500.0,77074.63914933369
Borrisokane,90500.0,40523.77660816222
Borrisoleigh,90334.28571428571,48326.02957067685
Botanic A,345481.48148148146,139781.63438367483
Botanic B,401773.75,157614.8428829184
Botanic C,401401.6666666667,142159.6191775732
Bourney West,180000.0,0.0
Boyle Rural,95232.55813953489,58395.44470545394
Bracklin,80000.0,
Brackloon,58000.0,31187.604375242845
Bracknagh,310000.0,247487.37341529163
Bramblestown,180000.0,0.0
Brandon,70000.0,
Bray No 1,182310.3448275862,72539.94143537944
Bray No 2,331132.0224719101,142041.6376708842
Bray No 3,262461.53846153844,112250.79140451603
Breaghwy,164500.0,123653.75044858122
Breandrum,63000.0,21556.12828563299
Breanrisk,156112.5,5497.755223725407
Bredagh,139772.72727272726,132346.39466875623
Bree,168000.0,63906.181234681826
Breedoge,40000.0,
Brewsterfield,148000.0,
Bricklieve,94000.0,
Bridgetown,123428.57142857143,73116.58987046452
Brinny,95000.0,
Brisha,107000.0,
Broadford,87800.0,27833.43313355361
Brockagh,540833.3333333334,411174.1318063026
Brosna,135000.0,
Browningstown,489694.44444444444,496457.24710453604
Bruce Hall,175000.0,
Bruff,123500.0,87203.27840572213
Bruree,74250.0,42736.10885422303
Buckill,92500.0,81317.27983645296
Bulgaden,118200.0,79082.70986758104
Bullaun,154437.5,109230.2409395598
Bumlin,65000.0,
Buncrana Rural,115897.2972972973,49317.91699714149
Buncrana Urban,107558.33333333333,67073.73075312613
Bundoran Rural,112875.0,48860.984776540616
Bundoran Urban,66899.11392405063,31038.48265645503
Bunowen,165833.33333333334,55715.0488348226
Burgage,245420.0,62012.04184134993
Burgesbeg,155000.0,0.0
Burnchurch,316600.0,204840.28621621983
Burncourt,86750.0,64374.55501464328
Burren,160000.0,21213.203435596424
Burriscarra,97500.0,
Burry,200000.0,
Burt,140300.0,65986.36222735725
Burtonhall,220000.0,
Burtown,135000.0,
Butler's Bridge,119250.0,69514.38700010236
Butlerstown,78500.0,
Buttevant,78333.33333333333,28359.595671776893
Cabinteely-Granitefield,386701.6129032258,123834.77600137948
Cabinteely-Kilbogget,389616.6666666667,172366.52423878867
Cabinteely-Loughlinstown,361980.5573770492,337386.12770699017
Cabinteely-Pottery,393338.9830508475,111728.67538101511
Cabra East A,284757.4197530864,92609.30954429795
Cabra East B,163818.29268292684,64980.50838145385
Cabra East C,293580.06451612903,136005.31179257558
Cabra West A,165441.17647058822,56946.76306454488
Cabra West B,156462.96296296295,50386.7591592821
Cabra West C,141613.63636363635,47710.16958034504
Cabra West D,307250.0,74377.50929473835
Cadamstown,205692.3076923077,77691.03832423297
Caddagh,22000.0,
Caher,128500.0,75206.62894344512
Caheragh,270000.0,
Caherbarnagh,70000.0,
Caherconlish East,235000.0,
Caherconlish West,87409.09090909091,56679.28112715359
Caherdaniel,175333.33333333334,69572.50414735216
Caherduggan,87500.0,3535.5339059327375
Caherlag,247019.38202247192,123765.383901035
Cahermore,193166.66666666666,73181.85111988719
Cahore,205000.0,57662.81297335398
Calary,567500.0,45961.94077712559
Caldragh,136375.0,62598.351187779466
Callan Rural,107847.82608695653,46464.74820858234
Callow,140000.0,14142.13562373095
Calry,266600.0,119723.9417252131
Caltra,85000.0,34641.016151377546
Candroma,160000.0,
Cangort,134100.0,60241.5969243844
Cannaway,205000.0,
Cape Clear,150000.0,
Cappagh,193200.0,229956.78337944768
Cappalusk,125500.0,105358.91039679557
Cappamore,63125.0,45501.76605677756
Cappancur,128300.0,74966.3257736432
Cappard,120000.0,63639.61030678928
Cappoquin,71500.0,47739.52764743279
Caragh,258071.42857142858,129159.32851659282
Caraun,77500.0,31819.80515339464
Carbury,290111.1111111111,231846.09358604928
Cardtown,75000.0,
Carlingford,159312.5,58166.51743056309
Carlow Rural,142119.5652173913,59156.589262229245
Carlow Urban,126179.16666666667,137886.19724305806
Carn,132500.0,47169.905660283024
