,county,ed
22383,Dublin,Tallaght-Oldbawn
22384,Dublin,Clonmethan
22463,Dublin,Palmerstown Village
22604,Dublin,Templeogue-Kimmage Manor
22739,Dublin,Portmarnock South
22967,Dublin,Clontarf East A
22972,Dublin,Raheny St. Assam
22975,Dublin,Edenmore
23254,Dublin,Rathmines East D
23268,Dublin,Rathmines West B
23483,Dublin,Ballinteer-Marley
23484,Dublin,Tibradden
23492,Dublin,Rathfarnham Village
23499,Dublin,Rathfarnham-Butterfield
23958,Dublin,Rathmines West F
23959,Dublin,Rathmines West D
23960,Dublin,Rathmines West E
24083,Dublin,Templeogue-Cypress
24125,Dublin,Rathmines West C
24886,Dublin,Whitehall B
24889,Dublin,Airport
24890,Dublin,Whitehall C
25146,Dublin,Shankill-Rathsallagh
25147,Dublin,Shankill-Shanganagh
25563,Dublin,Stillorgan-Merville
25997,Dublin,Swords Village
25998,Dublin,Swords-Forrest
26001,Dublin,Swords-Glasmore
26892,Dublin,Tallaght-Avonbeg
26893,Dublin,Tallaght-Springfield
26895,Dublin,Tallaght-Belgarde
26907,Dublin,Tallaght-Millbrook
26911,Dublin,Tallaght-Killinardan
26923,Dublin,Tallaght-Tymon
27001,Dublin,Tallaght-Glenview
27010,Dublin,Ballinascorney
27324,Dublin,Templeogue Village
27333,Dublin,Templeogue-Orwell
27338,Dublin,Templeogue-Osprey
27473,Dublin,Terenure C
27492,Dublin,Terenure D
27821,Dublin,Terenure-Cherryfield
27875,Dublin,Terenure-St. James
