uid,ed,ed_num
2057,Kilmurry,215
2058,Knocknaboley,216
2063,Newmarket,217
2064,Tomfinlough,218
2065,Urlan,219
2069,Clenagh,220
2084,Ogonnelloe,221
2090,Abbey A,222
2101,Cloonadrum,223
2104,Quin,224
2133,Clooney,225
2148,Scarriff,226
2331,Rossroe,227
2343,Dangan,228
2367,Cloontra,229
2375,Beagh,230
2376,Ballyblood,231
2378,Tulla,232
2393,Oughtmama,233
2396,Drummaan,234
2406,Clonmoyle,235
2407,Templebreedy,236
2408,Corkbeg,237
2409,Kilbonane,238
2416,Turner's Cross D,239
2418,Ballinadee,240
2419,Ballincollig,241
2458,Ovens,242
2766,Ballymoney,243
2767,Teadies,244
2775,Kinneigh,245
2776,Bealanageary,246
2778,Cleanrath,247
2780,Derryfineen,248
2781,Dunderrow,249
2784,Ballymartle,250
2786,Ballygarvan,251
2787,Templemichael,252
2798,Ballinlough B,253
2799,Ballinlough C,254
2800,Mahon C,255
2801,Mahon B,256
2808,Ballinlough A,257
2830,Tramore A,258
2837,Tramore B,259
2844,Knockrea A,260
2845,Ballinspittle,261
2847,Knockrea B,262
2851,Turner's Cross B,263
2872,Ballycottin,264
2880,Kinsale Urban,265
2881,Ballybane,266
2882,Ballydehob,267
2884,Kilcoe,268
2892,Skull,269
2896,Ballyfeard,270
2897,Kilpatrick,271
2906,Carrigaline,272
2918,Liscleary,273
2919,Douglas,274
2924,Ballyhooly,275
2927,Kilcummer,276
2941,Kilmacdonogh,277
2946,Gortnatubbrid,278
2947,Slievereagh,279
2948,Ullanes,280
2949,Ballynoe,281
2951,Pouladuff B,282
2952,Pouladuff A,283
2953,Ballyphenane B,284
2955,Ballyphenane A,285
2975,The Lough,286
2990,Fair Hill B,287
2993,The Glen B,288
2994,Rathcooney,289
2996,The Glen A,290
3016,Mayfield,291
3057,Tullagh,292
3063,Skibbereen Rural,293
3082,Bandon,294
3083,Templemartin,295
3084,Ballymodan,296
3090,Knockroe,297
3092,Inishannon,298
3102,Kilbrogan,299
3134,Abbeymahon,300
3141,Gillabbey B,301
3161,Baurleigh,302
3193,Butlerstown,303
3211,Brinny,304
3218,Cashel,305
3231,Banteer,306
3233,Clonmeen,307
3234,Gortmore,308
3238,Bantry Urban,309
3241,Sheepshead,310
3243,Seefin,311
3246,Caheragh,312
3255,Glenagarriff,313
3259,Kealkill,314
3266,Bantry Rural,315
3268,Gortnascreeny,316
3279,Glanlough,317
3289,Bear,318
3290,Curryglass,319
3291,Adrigole,320
3292,Kilcatherine,321
3294,Coulagh,322
3296,Kilmonoge,323
3313,Dripsey,324
3318,Kilcullen,325
3319,Gowlane,326
3321,Bishopstown E,327
3323,Bishopstown B,328
3324,Bishopstown D,329
3325,Bishopstown C,330
3338,Inishkenny,331
3360,Bishopstown,332
3371,Bishopstown A,333
3429,Commons,334
3433,Blackpool B,335
3439,Farranferris A,336
3442,Farranferris B,337
3454,Blackpool A,338
3492,Mahon A,339
3508,Monkstown Urban,340
3530,City Hall B,341
3611,Matehy,342
3613,Blarney,343
3621,Sunday's Well B,344
3626,Whitechurch,345
3628,St. Mary's,346
3679,Gurranabraher B,347
3690,Skagh,348
3691,Buttevant,349
3698,Templemary,350
3699,Doneraile,351
3700,Imphrick,352
3705,Churchtown,353
3712,Dromore,354
3718,Killeenleagh,355
3721,Carrig,356
3730,Shanakiel,357
3732,Cannaway,358
4040,Carrignavar,359
4043,Killeagh,360
4056,Carrigrohane Beg,361
4061,Carrigtohill,362
4094,Lisgoold,363
4139,Midleton Rural,364
4165,Castlelyons,365
4167,Fermoy Rural,366
4168,Kilcor,367
4176,Castlemagner,368
4177,Ightermurragh,369
4183,Mogeely,370
4192,Castlemartyr,371
4213,Killaconenagh,372
4225,Castletownroche,373
4233,Castlehaven North,374
4236,Rathluirc,375
4240,Ardskeagh,376
4242,Tobernea,377
4263,Dromcolliher,378
4299,Colmanswell,379
4309,Springfort,380
4329,Churchfield,381
4331,Knocknaheeny,382
4351,Glasheen C,383
4355,Clonakilty Urban,384
4366,Clonakilty Rural,385
4370,Ardfield,386
4372,Coolcraheen,387
4377,Rathbarry,388
4390,Templeomalus,389
4397,Kilkerranmore,390
4418,Rossmore,391
4432,Kilnagross,392
4478,Moviddy,393
4479,Cloyne,394
4503,Inch,395
4513,Kilberrihert,396
4514,Aghinagh,397
4515,Magourney,398
4523,Aglish,399
4528,Cobh Rural,400
4529,Cobh Urban,401
4723,Centre A,402
4768,Knockmourne,403
4775,Curraglass,404
4778,Greenmount,405
4780,Evergreen,406
4782,Shandon B,407
4783,Gillabbey A,408
4789,St. Patrick's B,409
4791,St. Patrick's A,410
4792,Turner's Cross C,411
4794,Shandon A,412
4796,South Gate B,413
4797,South Gate A,414
4803,Montenotte A,415
4805,Tramore C,416
4806,Gillabbey C,417
4816,Sunday's Well A,418
4823,Centre B,419
4835,City Hall A,420
4843,Gurranabraher A,421
4876,Turner's Cross A,422
4918,Fair Hill C,423
4930,Gurranabraher E,424
4936,Tivoli B,425
4938,Gurranabraher D,426
4943,Courtmacsherry,427
4969,Crookhaven,428
4972,Warrenscourt,429
5039,St. Patrick's C,430
5043,Skahanagh,431
5044,Streamhill,432
5069,Firmount,433
